question,answer
,"یکی حالا مثل ایشون با داکیومنت راحتن و میفهمن.
یکی مثلا میگه فلان مدرس خوبه و..."
داکیومنت از کجا بعدد تمرین اینا نداره ک داک,بعد که دانشش رو بدست آوردی سورس بخون تو گیت هاب نمونه پروژه ببین بعد همونو هم خودت بزن با تغییرات باب میلت
,داکیومنت از کجا بعدد تمرین اینا نداره ک داک
ولی در کل تعریف سبزلرن رو زیاد دیدم تو گروه ها,اون قیمتش زیاده یکم
دنبال دوره خوب نباشید، ببینید با چه دوره ای میتونید ارتباط بگیرید,والا من با میلاد بهرامی اوکی بودم چندتا از یوتوب دیدم
"سلام شبتون بخیر 
بنظرتون دوره جاوااسکریپت میلاد بهرامی خوبه تهیه کنم یا مسعود صدری فرانت کست؟!",
"سلام شبتون بخیر 
بنظرتون دوره جاوااسکریپت میلاد بهرامی خوبه تهیه کنم یا مسعود صدری فرانت کست؟!",دنبال دوره خوب نباشید، ببینید با چه دوره ای میتونید ارتباط بگیرید
"سلام شبتون بخیر 
بنظرتون دوره جاوااسکریپت میلاد بهرامی خوبه تهیه کنم یا مسعود صدری فرانت کست؟!",کسی نیست جواب بده؟!!!
سلام دوستان وقتی وارد یک وبسایت میشم از کجا بفهمیم spa هست یا mpa,پیوی یه مقاله فرستادم برات بخون کامل متوجه بشی
سلام دوستان وقتی وارد یک وبسایت میشم از کجا بفهمیم spa هست یا mpa,"بین لینکاش ک جا ب جا بشی 
اگ urlتغییر کرد ولی صفحه رفرش نشد spa  در غیر این صورت mpa به"
"سلام
کسی هست vb6 کار کرده باشه؟",بنده
سلام میخوام ثبت شرکت کنم کسی جایی میشناسه قیمت الکی نده و کارش درست باشه,چه شهری هستی
سلام اینجا کسی برنامه نویس اندروید هست؟,سلام بفرمایید
"سلام دوستان ی پروژه درس هوش مصنوعی دارم تا اخر شب یکشنبه وقته با زبان پایتون باید نوشته شه هر کی میتونه انجام بده بیاد پیوی...راجب هزینه و اینا به توافق برسیم...
ممنون",سلام من میتونم
"دوستان برای پروژه های مرتبط به برنامه نویسی و طراحی سایت با طرح اختصاصی با کمترین هزینه (کمتر از ۲۰ میلیون)  
انجام UI/UX با هزینه ۱۰ میلیون  برای ۵ صفحه 
برنامه نویس سمت کاربر یا فرانت ری اکت و نکست جی اس و بوت استرپ ۱۵ میلیون برای ۵ صفحه 
برنامه نویسی سمت سرور یا بک اند برای ۵ صفحه ۲۰ میلیون با زبان پایتون   و دان نت","آخه قیمتها را به دلار نوشته بودین . 

الان شما خودتون برنامه نویسید یا برون سپاری میکنید ؟"
کاری دارید؟؟,بله
سلام اینجا کسی برنامه نویس اندروید هست؟,کاری دارید؟؟
داداش شما کجایی؟ الان پروژه فعال چی دارید؟,من تورنتو هستم از اینجا کارو هندل میکنم
با همون روشی که اومده رو ایملیت تو هم برو بعد همین کارارو کن,خب رمزمو از قبل داشته همه چی رو هم رو گوشی خودش دسترسی داده کلا دسترسی منو برداشته از رو ایمیل
"سلام . وقت بخیر 
دوستان من توی فلاشم یه سری عکس و فیلم داشتم که پاک شده 
راهی هست بتونم عکس و فیلم هام رو برگردونم ؟؟؟",کدوم شهری؟
"خیلی از مغازه های بیرون که تعمیرات انجام میدن این کار رو میکنن 
فکر کنم گیگی ۷۰۰ یا ۸۰۰ تومن میگیرن😐","پس دقیق پول دلاری همون برنامه میشه 
۶۰ دلار هست دقیق پول برنامه 🙂🙂"
"الان سرچ میکنم ببینم چیزی پیدا میکنم یا نه 
فقط خواهشا کمکم کنید 
عکس تمام عزیزانم که دیگه از دستشون دادم توی اون فلش بود 😭😭","خیلی از مغازه های بیرون که تعمیرات انجام میدن این کار رو میکنن 
فکر کنم گیگی ۷۰۰ یا ۸۰۰ تومن میگیرن😐"
بخاطر همین گفتم پکیج لینوکس کامل تره,ولی خوبش دیدم اما یادم نیست
ویندوزی ها معمولا درست نساختنشون بعد از نصب برنامه هرچی پاک بشه ریکاوری میکنه که منطقی نیست,بخاطر همین گفتم پکیج لینوکس کامل تره
"برنامه های ریکاوری داخل ویندوز معمولا جواب گو نیست 
یه پکیجی داخل لینوکس هست اون خیلی کامل تره
اسمش رو نمیدونم ولی اون خیلی خوبه",ویندوزی ها معمولا درست نساختنشون بعد از نصب برنامه هرچی پاک بشه ریکاوری میکنه که منطقی نیست
سیستم عاملت چیه,ویندوز 7 🙂
کرک شده ببین میتونی پیدا کنی,سافت ۹۸ داره احتمالا
به چت جی پی تی یا داخل یوتوب و گوگل سرچ کنید ببنید چیزی پیدا می‌کنید یا نه,"ممنونم از شما 🙏🏻🙏🏻🙏🏻
بگردم ببینم چی پیدا میکنم"
"الان من توی یکی از برنامه ها هستم 
اما متاسفانه پولی 🥲",سیستم عاملت چیه
یک دسته از برنامه هستن حالا بینشون بگرد ببین کدوم جواب کارت میده,"الان من توی یکی از برنامه ها هستم 
اما متاسفانه پولی 🥲"
"از کجا میتونم پیدا کنم 
اسم سایت لینوکس هست  ؟",به چت جی پی تی یا داخل یوتوب و گوگل سرچ کنید ببنید چیزی پیدا می‌کنید یا نه
"برنامه های ریکاوری داخل ویندوز معمولا جواب گو نیست 
یه پکیجی داخل لینوکس هست اون خیلی کامل تره
اسمش رو نمیدونم ولی اون خیلی خوبه","از کجا میتونم پیدا کنم 
اسم سایت لینوکس هست  ؟"
"این برنامه پولی یا رایگان هست ؟
نسخه رایگان داره؟",یک دسته از برنامه هستن حالا بینشون بگرد ببین کدوم جواب کارت میده
"سلام . وقت بخیر 
دوستان من توی فلاشم یه سری عکس و فیلم داشتم که پاک شده 
راهی هست بتونم عکس و فیلم هام رو برگردونم ؟؟؟","برنامه های ریکاوری داخل ویندوز معمولا جواب گو نیست 
یه پکیجی داخل لینوکس هست اون خیلی کامل تره
اسمش رو نمیدونم ولی اون خیلی خوبه"
برنامه ریکاوری امتحان کن,"این برنامه پولی یا رایگان هست ؟
نسخه رایگان داره؟"
"سلام . وقت بخیر 
دوستان من توی فلاشم یه سری عکس و فیلم داشتم که پاک شده 
راهی هست بتونم عکس و فیلم هام رو برگردونم ؟؟؟",برنامه ریکاوری امتحان کن
"دوستان برای پروژه های مرتبط به برنامه نویسی و طراحی سایت با طرح اختصاصی با کمترین هزینه (کمتر از ۲۰ میلیون)  
انجام UI/UX با هزینه ۱۰ میلیون  برای ۵ صفحه 
برنامه نویس سمت کاربر یا فرانت ری اکت و نکست جی اس و بوت استرپ ۱۵ میلیون برای ۵ صفحه 
برنامه نویسی سمت سرور یا بک اند برای ۵ صفحه ۲۰ میلیون با زبان پایتون   و دان نت",داداش شما کجایی؟ الان پروژه فعال چی دارید؟
سلام یه سوال اگه یه نفر رمز ایمیلمون رو عوض کزده باشه و بجا ایمیل بازیابی ایمیل و شماره خودشو داده باشه و نتونیم وارد ایمیلمون بشیم چیکار باید بکنیم؟ راهی داره؟,با همون روشی که اومده رو ایملیت تو هم برو بعد همین کارارو کن
سلام وقتتون بخیر امیدوارم حالتون خوب باشه آقا من کالی لینوکس نصب کردم سرعت نت به شدت پایینه چه کنم بنظرتون؟,"سلام
جوابت رو سه ساعت نوشتم ولی ظاهرا چون آدرس دایرکتوری توش بود پاک شد
میتونی از ادمینها بخوای از ریسنت‌اکشن بفرستنش، نهایتا گفته بودم که نت رو سرچ کن ترفندهایی پیدا میکنی"
خب اکیه دیگه,بخاطر همینه دبنال دوره وب سوکت با لاراول هستم
خب لاراول میتونم کد بزنم,خب اکیه دیگه
خوبه ولی باید پیش نیاز ها و دید برنامه نویسیت خوب باشه,خب لاراول میتونم کد بزنم
دوره اش چطوره,خوبه ولی باید پیش نیاز ها و دید برنامه نویسیت خوب باشه
"سلام.
فک‌کنم سایت راکت داشته باشه",دوره اش چطوره
سلام کسی دوره وب سوکت در لاراول با Reverb داره یا سایتی میشناسه اموزش بده,"سلام.
فک‌کنم سایت راکت داشته باشه"
سلام وقتتون بخیر امیدوارم حالتون خوب باشه آقا من کالی لینوکس نصب کردم سرعت نت به شدت پایینه چه کنم بنظرتون؟,برا منم همینطوریه خیلی اذیت میکنه
درس یک واحدی دو غیبت مجازه سومی حذفه درسته؟؟,"به تعداد واحد غیبت مجازه
یک واحدی، یک جلسه"
اها ولی خب همه چی از ۰ خیلی بهتره بنظرم,خب دنبال اعتبار فیک برای خودشون میگردن
سلام بخاطر اینکه خیلی از کسایی که کارشون رو شروع میکنن خودشون رو به عنوان گروه با سابقه همراه با ممبر معرفی کنن میان گروه یا چنل ها رو میخرن,اها ولی خب همه چی از ۰ خیلی بهتره بنظرم
"سلام 
چرا گروه های قدیمی رو میخرن ؟",سلام بخاطر اینکه خیلی از کسایی که کارشون رو شروع میکنن خودشون رو به عنوان گروه با سابقه همراه با ممبر معرفی کنن میان گروه یا چنل ها رو میخرن
میخوام gpu قوی داشته باشه,نداره متاسفانه
"متغیره
شما چه سرویسی با چه مشخصاتی میخواین روش ران کنین؟",میخوام gpu قوی داشته باشه
سلام چه سروری هست مشخصاتش چیه؟,"متغیره
شما چه سرویسی با چه مشخصاتی میخواین روش ران کنین؟"
"سلام دوستان کسی سایتی سرویسی چیزی با قیمت کم خواست بهم بگه
یه سرور گرفتیم برای خودمون، کارمونو داریم میکنیم، میتونیم به شما هم با قیمت کم سرویس بدیم",سلام چه سروری هست مشخصاتش چیه؟
سه ساعت راجب این دو تا وقفه سرچ زدم چیزی درست و حسابی پیدا نکردم,"«وقفه‌های داخلی و خارجی ریزپردازنده چیست؟»
همین رو با داک‌داک‌گو(سرچ انجین) سرچ کردم کلی مقاله سایت آورده فقط برای توضیح همین مطلب به طور خاص
این نکته شاید به کارتون بیاد که در زبان سی باید در کد برنامه حافظه رو مدیریت کنید و حافظه بدون دستورات شما برای پاکسازی به سادگی پر میشه و … که این موضوع مربوط به حافظه موقت و همین وقفه‌ها میشه"
داداش این استادای ما حرف خودشونم قبول ندارن، الان خودش گفته تایمر و کانتر فرق ندارن ولی توضیحش یه چی دیگه میگه، میترسم از هوش مصنوعی بپرسم بدبخت شم,"سلام
دوست عزیز مشکل شما با استادتون رو اینجا چطور میتونیم حل کنیم؟!!
اگر میخوای آموزش ببینی میتونی تو اینترنت آموزشی که میخوای رو سرچ کنی
با پرسیدن یک سوال نمیشه یک کورس آموزشی براتون گذاشت😅
واضحه😉"
داداش این استادای ما حرف خودشونم قبول ندارن، الان خودش گفته تایمر و کانتر فرق ندارن ولی توضیحش یه چی دیگه میگه، میترسم از هوش مصنوعی بپرسم بدبخت شم,"ببین در سیستم پردازشی کامپیوتر و هر یک از قطعات ما چیزی به اسم  **فرکانس** داریم  که میشه در قالب
__توان اعمال و انجام چند پردازش در ثانیه__
 اون رو شرح داد. در طیف گسترده تر و معماری زبان های برنامه نویسی ، در بخشی به اسم Lexer که وظیفه تعیین نقش رو داره , برای نوع `identifier (برای مثال حلقه های for,if,… رو‌میتونه شامل بشه)،از چیزی `به اسم counter استفاده میشه که معمولا (تکرار میکنم معمولا) به شکل افزایشی استفاده میشه برای مثال شما در یک حلقه for به این شکل از یک counter استفاده میکنید:

```for[int] -> Basis(int* mut i;i == 3;i++){

  //general operations

}```

که در این روند ما این رو به شکل افزایشی تعریف کردیم. که البته این میدونه به شکل کاهشی هم باشه؛ و اما در تایمر ها ما چیزی به اسم tick داریم که بار زمان پردازشی رو متحمل میشه و حال این تایمر میتونه دارای زمان( معمولا میلی ثانیه )و تعداد خاص و قابلیت enable/disable کردن باشه که برای تفهیم بهتر timer میشه به نحوه شناسایی سلامت قطعات سخت افزار اشاره کرد که زمانی که شما روی دکمه power کلیک میکنی سیگنالی با مدت زمانی محدود به قطعات ارسال میشه (۰/۵ میلی ثانیه تقریبا) و در صورت دریافت پاسخی (Acknowledge) سلامت قطعات تایید میشه و سیستم شروع به کار‌میکنه.

**خلاصه کار اینه: در کاربری متوسط و عادی هیچ تفاوتی احساس نمیکنی و هیچ فرقی ندارن**"
سه ساعت راجب این دو تا وقفه سرچ زدم چیزی درست و حسابی پیدا نکردم,با ایمیل لاگین کن
سه ساعت راجب این دو تا وقفه سرچ زدم چیزی درست و حسابی پیدا نکردم,منظورم ai qowen
اره گوگل کن,سه ساعت راجب این دو تا وقفه سرچ زدم چیزی درست و حسابی پیدا نکردم
اره گوگل کن,جبران میکنم برات
سایت داره؟,اره گوگل کن
از qown ai بپرس مفصل میگه,؟
چیو کجا,از qown ai بپرس مفصل میگه
"در برنامه‌نویسی به زبان C (مخصوصاً در محیط‌های سیستم‌های نهفته یا سطح پایین مثل میکروکنترلرها)، **وقفه (Interrupt)** روشی برای پاسخ‌دهی به رویدادهای ناگهانی است بدون اینکه برنامه نیاز داشته باشد دائم منتظر آن رویداد بماند. وقفه‌ها به دو نوع اصلی تقسیم می‌شوند:
**1. وقفه خارجی (External Interrupt):**
این نوع وقفه‌ها از بیرون پردازنده ایجاد می‌شوند؛ مثلاً فشرده شدن یک دکمه، دریافت داده از پورت سریال یا سیگنالی از سنسور.
**مثال: وقفه خارجی در میکروکنترلر AVR (مثل ATmega32)**
`#include <avr/io.h> #include <avr/interrupt.h> void setup() { // تنظیم پایه INT0 به عنوان ورودی DDRD &= ~(1 << PD2); // PD2 = INT0 // فعال‌سازی وقفه خارجی INT0 در لبه پایین‌رونده MCUCR |= (1 << ISC01); // لبه پایین‌رونده GICR |= (1 << INT0); // فعال‌سازی INT0 sei(); // فعال‌سازی وقفه کلی } ISR(INT0_vect) { // وقتی وقفه خارجی رخ دهد، این تابع اجرا می‌شود PORTC ^= (1 << PC0); // تغییر وضعیت یک LED } `
**2. وقفه داخلی (Internal Interrupt):**
این وقفه‌ها از داخل پردازنده و توسط سخت‌افزارهایی مثل تایمر، مقایسه‌کننده، ADC و... ایجاد می‌شوند.
**مثال: وقفه داخلی تایمر در AVR**
`#include <avr/io.h> #include <avr/interrupt.h> void setup() { // تنظیم پایه خروجی DDRC |= (1 << PC0); // تنظیم تایمر0 برای ایجاد وقفه هر 1ms TCCR0 |= (1 << CS01) | (1 << CS00); // تقسیم کلاک 64 TIMSK |= (1 << TOIE0); // فعال‌سازی وقفه سرریز تایمر sei(); // فعال‌سازی وقفه کلی } ISR(TIMER0_OVF_vect) { // با هر سرریز تایمر، این تابع اجرا می‌شود PORTC ^= (1 << PC0); } `
**تفاوت کلیدی بین وقفه داخلی و خارجی:**
اگر خواستی همین مثال‌ها رو با معماری خاصی (مثل STM32، ARM، یا حتی شبیه‌سازی در محیط‌هایی مثل Proteus یا Keil) ادامه بدم، فقط بگو.",دمت گرم
"در برنامه‌نویسی به زبان C (مخصوصاً در محیط‌های سیستم‌های نهفته یا سطح پایین مثل میکروکنترلرها)، **وقفه (Interrupt)** روشی برای پاسخ‌دهی به رویدادهای ناگهانی است بدون اینکه برنامه نیاز داشته باشد دائم منتظر آن رویداد بماند. وقفه‌ها به دو نوع اصلی تقسیم می‌شوند:
**1. وقفه خارجی (External Interrupt):**
این نوع وقفه‌ها از بیرون پردازنده ایجاد می‌شوند؛ مثلاً فشرده شدن یک دکمه، دریافت داده از پورت سریال یا سیگنالی از سنسور.
**مثال: وقفه خارجی در میکروکنترلر AVR (مثل ATmega32)**
`#include <avr/io.h> #include <avr/interrupt.h> void setup() { // تنظیم پایه INT0 به عنوان ورودی DDRD &= ~(1 << PD2); // PD2 = INT0 // فعال‌سازی وقفه خارجی INT0 در لبه پایین‌رونده MCUCR |= (1 << ISC01); // لبه پایین‌رونده GICR |= (1 << INT0); // فعال‌سازی INT0 sei(); // فعال‌سازی وقفه کلی } ISR(INT0_vect) { // وقتی وقفه خارجی رخ دهد، این تابع اجرا می‌شود PORTC ^= (1 << PC0); // تغییر وضعیت یک LED } `
**2. وقفه داخلی (Internal Interrupt):**
این وقفه‌ها از داخل پردازنده و توسط سخت‌افزارهایی مثل تایمر، مقایسه‌کننده، ADC و... ایجاد می‌شوند.
**مثال: وقفه داخلی تایمر در AVR**
`#include <avr/io.h> #include <avr/interrupt.h> void setup() { // تنظیم پایه خروجی DDRC |= (1 << PC0); // تنظیم تایمر0 برای ایجاد وقفه هر 1ms TCCR0 |= (1 << CS01) | (1 << CS00); // تقسیم کلاک 64 TIMSK |= (1 << TOIE0); // فعال‌سازی وقفه سرریز تایمر sei(); // فعال‌سازی وقفه کلی } ISR(TIMER0_OVF_vect) { // با هر سرریز تایمر، این تابع اجرا می‌شود PORTC ^= (1 << PC0); } `
**تفاوت کلیدی بین وقفه داخلی و خارجی:**
اگر خواستی همین مثال‌ها رو با معماری خاصی (مثل STM32، ARM، یا حتی شبیه‌سازی در محیط‌هایی مثل Proteus یا Keil) ادامه بدم، فقط بگو.",این
"Chatgpt
Deepsick
Grok",داداش این استادای ما حرف خودشونم قبول ندارن، الان خودش گفته تایمر و کانتر فرق ندارن ولی توضیحش یه چی دیگه میگه، میترسم از هوش مصنوعی بپرسم بدبخت شم
ارسال کردم,چیو کجا
کسی ریزپردازنده بلد نی اینجا؟ فردا امتحان دارم و چند تا سوال,ارسال کردم
کسی ریزپردازنده بلد نی اینجا؟ فردا امتحان دارم و چند تا سوال,"Chatgpt
Deepsick
Grok"
الان از ai میپرسم,اشتباه نگه
فعلا زبان نگفته,الان از ai میپرسم
توی چه زبانی,ولی جلوتر با سی جلو رفته
توی چه زبانی,فعلا زبان نگفته
دوستان کسی میتونی وقفه خارجی و داخلی رو توضیح بده,توی چه زبانی
دوستان کسی میتونی وقفه خارجی و داخلی رو توضیح بده,یکی بگه خواهشاً فردا امتحان دارم نمی‌فهمم اینا رو
"سلام امتحان هوش مصنوعی دارم هشت تا الگوریتمه‌که باید حل شه...ینی ی سواله ی گراف داده گفته این الگوریتما روش اعمال شن هر کی میتونه درست و کامل حل کنه بفرسته برام‌ بیاد پیوی هزینه پرداخت میشه...
مرسی فقط مسلط باشه...ممنون",پیوی
برسم خونه میفرستم,اوکی
"ی سواله ولی ۸ قسمت داره مثلا الگوریتم dfs و bfs  کلا هفت تا هست

واسه هر کدوم ۵۰۰ میگیرین؟؟",اره هر بخشی۵۰۰میگیرم
"سلام دوست عزیز اگه بخای واست حل میکنم البته با هزینه و هرسوالی که توضیح کامل و قابل فهم۵۰۰میگیرم
اکی هسی درخدمتم","ی سواله ولی ۸ قسمت داره مثلا الگوریتم dfs و bfs  کلا هفت تا هست

واسه هر کدوم ۵۰۰ میگیرین؟؟"
"سلام امتحان هوش مصنوعی دارم هشت تا الگوریتمه‌که باید حل شه...ینی ی سواله ی گراف داده گفته این الگوریتما روش اعمال شن هر کی میتونه درست و کامل حل کنه بفرسته برام‌ بیاد پیوی هزینه پرداخت میشه...
مرسی فقط مسلط باشه...ممنون","سلام دوست عزیز اگه بخای واست حل میکنم البته با هزینه و هرسوالی که توضیح کامل و قابل فهم۵۰۰میگیرم
اکی هسی درخدمتم"
یک قطعه این کار انجام میده,مرسی
سیگنال اوسیلاتور رو معمولا اگه حرف میکروکنترلر باشه با کریستال میسازن,اها
تعداد سیگنال هایی که در ثانیه برای سی پی یو میفرسته,نه دیگه معکوسش میشه پالس ساعت
به اسیلاتور؟,فرکانس ساعت
ما بهش میگیم کلاک,به اسیلاتور؟
,ما بهش میگیم کلاک
اره دقیقا چیش سوالت,
راستی، اسیلاتور میدونی چیه؟,اره دقیقا چیش سوالت
میتونه پالس هم باشه کلاک اسپید یا کریستال کوارتز,راستی، اسیلاتور میدونی چیه؟
میتونه پالس هم باشه کلاک اسپید یا کریستال کوارتز,اینا نمیدونم چیه فقط پالس ساعت رو میدونم
پالس ساعتو میگی؟,میتونه پالس هم باشه کلاک اسپید یا کریستال کوارتز
بستگی به تایمرش داره ولی یک جوری پردازنده میاد زمان اندازه گیری میکنه که دقیق باشه,پالس ساعتو میگی؟
تیک منظورت چیه؟,بستگی به تایمرش داره ولی یک جوری پردازنده میاد زمان اندازه گیری میکنه که دقیق باشه
تایمر تعداد تیک ها میشمره کانتر یک جور ایتریتور که هر بار که ورودی بهش داده میشه میشمره زخیره میکنه,تیک منظورت چیه؟
دوستان تایمر با counter فرق داره؟,تایمر تعداد تیک ها میشمره کانتر یک جور ایتریتور که هر بار که ورودی بهش داده میشه میشمره زخیره میکنه
"برای ساعت ویندوز ۱۱ تصاویر سرچ بزن
بخش تایمر و کانتر",من کاری به ویندوز ندارم کلا در درس ریزپردازنده میخوام بدونم
دوستان تایمر با counter فرق داره؟,"برای ساعت ویندوز ۱۱ تصاویر سرچ بزن
بخش تایمر و کانتر"
سوال چی بوده؟,برسم خونه میفرستم
"بچه ها هیچ راهی نداره بفهمیم مشکله چیه
همه نوع ورودی رو تست کردم به مشکل نخوردم",سوال چی بوده؟
کارتون چیه اینجا بگید,یه پروژه با کانستراکت داریم
میشه بیاید پیوی من ریپورتم,کارتون چیه اینجا بگید
بله,میشه بیاید پیوی من ریپورتم
کسی بازی سازی بلده اینجا؟,بله
"سلام خوبی چخبر متاسفانه کوئرا این قابلیت رو نداره میتونی کدتو بدی چت جی پی تی بگی سر چه اعدادی جواب اشتباه میده(که البته مهارت دیباگ کردن کد و رفع اشکال رو ازت میگیره) یا میتونی بگی که راجع به این موضوع چند تا عدد تست بهت بده تست کنی 
اگه از کدت مطمئنی یه سری ریزه کاری ها فراموش نشه مثلا اگه با سی پلاس پلاس کد میزنی long long int فراموش نشه که سر اعداد بزرگ به مشکل بر نخوره","همه کار کردم همه چی درسته به نظرم نمیدونم اصلا مشکلش چیه 
همه نوع عدد وارد کردم"
"بچه ها هیچ راهی نداره بفهمیم مشکله چیه
همه نوع ورودی رو تست کردم به مشکل نخوردم","سلام خوبی چخبر متاسفانه کوئرا این قابلیت رو نداره میتونی کدتو بدی چت جی پی تی بگی سر چه اعدادی جواب اشتباه میده(که البته مهارت دیباگ کردن کد و رفع اشکال رو ازت میگیره) یا میتونی بگی که راجع به این موضوع چند تا عدد تست بهت بده تست کنی 
اگه از کدت مطمئنی یه سری ریزه کاری ها فراموش نشه مثلا اگه با سی پلاس پلاس کد میزنی long long int فراموش نشه که سر اعداد بزرگ به مشکل بر نخوره"
چه سوال خوبی,
کسی بازی سازی بلده اینجا؟,چه سوال خوبی
"اقا یک سوال
من چند روز پیش سیستمو تمیز کردم بعد رمو دراوردم دوباره جا زدم از 16 شد 8 دوباره درآوردم جا زدم بعد الان روشن میکنم سریع خاموش میشه چشه؟",درست نزدی سر جاش
خوب ممنون میشم پرامت قوی داری بدی,"بهترین پرامت معمولا جزئیات ضروری رو شامل میشه
اگر صرفا یک عنوان برای یک مقاله خاص برای خروجی میخواید، بهترین پرامت درخواست عنوان با ارسال جزئیات مقاله است، اگر محدودیت دارید میتونید خلاصه رو بهش بدید
اگر مدل زبانی در اون زمینه آموزش دیده باشه بهترین جواب رو باید بگیرید
میتونید با هوش مصنوعی‌های مختلف که از مدلهای زبانی بزرگ مختلفی استفاده میکنن تست کنید ببینید کدومش نتیجه بهتری برای موضوع مقالتون داره
مدلهای هوش مصنوعی که به صورت استدلالی پاسخ میدن ممکنه گزینه‌های بهتری ارائه کنن"
"سلام
این کاریه که تو پشته‌ی مدلهای زبانی بزرگ برای دسته بندی و جمع‌آوری دیتا انجام میشه
شما نهایتا میتونید همین رو به عنوان پرامت به هوش مصنوعی بدی که بهترین عنوانهای مقاله‌ی مذکور رو بهتون بده",خوب ممنون میشم پرامت قوی داری بدی
سلام دوستان وقت بخیر کسی هست پرامتی داشته باشه عنوان h1. بدی به هوش مصنوعی بهترین عنوان های مقاله رو بنویسه,"سلام
این کاریه که تو پشته‌ی مدلهای زبانی بزرگ برای دسته بندی و جمع‌آوری دیتا انجام میشه
شما نهایتا میتونید همین رو به عنوان پرامت به هوش مصنوعی بدی که بهترین عنوانهای مقاله‌ی مذکور رو بهتون بده"
واقعا اینجا مدیر گروه نداره؟!,داره اما باید تگ بشن.
ب آدم برمیخوره جمع می‌بندی,۱۵ ساله های کلاه بردار ن همه😄
درود دوستان این خطا رو وقتی پروژه لاراولم رو دیپلوی کردم روی سی پنل بهم میده از چی میتونه باشه,"نسخه پی اچ پی رو چک کن روی ۸ یا ۸.۱ باشه 
و یه سری اکستنشن باید فعال باشه(سرچ کن برات میاره)


اگ اوکی نشد تیکت بزن برات اوکیش کنن"
"ممنون

این ۱۵ ساله ها باید چشاشونو  شکوند😂تا آدم شن",ب آدم برمیخوره جمع می‌بندی
"این کلاهبرداره
ما بهش ۶۰۰ پول دادیم قرار بود یه چیزی برامون درست کنه زد مارو بلاک کرد اصلا ۱۵ سالشه","ممنون

این ۱۵ ساله ها باید چشاشونو  شکوند😂تا آدم شن"
چند,"این کلاهبرداره
ما بهش ۶۰۰ پول دادیم قرار بود یه چیزی برامون درست کنه زد مارو بلاک کرد اصلا ۱۵ سالشه"
چند,بیا پی توافق میکنیم
من میفروشم اگه میخوای بیا پی,چند
دوستان برای به دست آوردن api id و api hash تلگرام راهکاری دارید,من میفروشم اگه میخوای بیا پی
,"فک کنم چون داری با دیباگ ران ران میکنی
عادی ران کن"
کلا باگه,با اون ایکون سطا اشغال ، دیلیتش کن دوباره ران کن
وقتی نمینویسه چطور میدونی رانه؟ازون گوشه بالا راست تصویر ی فلش مانندی داره بین ترمینالا سوییچ کن,از دکمه ها بالا میفهمم رانه
,وقتی نمینویسه چطور میدونی رانه؟ازون گوشه بالا راست تصویر ی فلش مانندی داره بین ترمینالا سوییچ کن
درود دوستان این خطا رو وقتی پروژه لاراولم رو دیپلوی کردم روی سی پنل بهم میده از چی میتونه باشه,نسخه php سرور را چک کن حتما با نسخه ای که نوشتی یکی باشه .
"سلام 
کسی هست نرم افزار ارنا بلد باشه ؟
یه سوال فوری داشتم",بله
"سلام
دوستان برنامه ضبط مکالمه ای ک دوطرفه تماس هارو ضبط کنه کسی سراغ داره؟
ممنون میشم اگر میدونید بهم بگید",cube acr
سلام یه بنویس با تجربه بک اند کار هست اینجا مشورت بگیرم ازش,سلام مشکلتون چیه؟
خب برادر بیا پیوی ریپورتم 😄😄,سیو هستید
لطفا ارسال کنید,خب برادر بیا پیوی ریپورتم 😄😄
"کسی کار وردپرس صفر تا صد سایت قوی میتونع اوکی کنه 
به یه نفر مطمعن لازم دارم راهنمایی کامل کنه انجام بدع بچه نیاد خاهشا نمونه کار بفرستید با سابقه","سلام، ‌ وقت بخیر
بله در خدمتیم"
پیوی درخدمتم اینجا نمیشه,لطفا ارسال کنید
"کسی کار وردپرس صفر تا صد سایت قوی میتونع اوکی کنه 
به یه نفر مطمعن لازم دارم راهنمایی کامل کنه انجام بدع بچه نیاد خاهشا نمونه کار بفرستید با سابقه",پیوی بتش
"کی html  , css بلده ؟",من
ارسال کنید,پیوی درخدمتم اینجا نمیشه
"سلام ۵
بیاین پیوی آمارشو براتون بفرستم",ارسال کنید
سلام قیمت این پیج چقدر هست؟,"سلام ۵
بیاین پیوی آمارشو براتون بفرستم"
"یه پیج اینستاگرام 60 کا فالوور با موضوع برنامه نویسی و کامپیوتر دارم
آمارش بالاست و فالووراش واقعی هستن و فیک نداره

همچنان از طریق تبلیغات درآمد داره و میتونین داخلش دوره آموزشی هم بفروشید

این آیدیش : 
Barnameneivsan",سلام قیمت این پیج چقدر هست؟
"سلام دوستان
یک سوال 

من یک لپ تاپ دارم و یک سیستم و چند تا هم‌گروهی

چجوری میتونم یک پروژه رو بین هم شیر کنیم و ببینیم هر کس داره چکار می‌کنه
Vs code
داریم

تجربه کمه 
ممنون",میتونی داخل git پروژه رو بسازین ثبت نام کنین و داخل پروژه  همو دعوت کنین
سلام دوستان کسی وقت داره راهنمایی کنه روی لینوکس پایچارم پروفشنال از سافت ۹۸ نصب کنم؟,پی وی پیام بدین
کسی با n8nکار کرده ایجنت بزنه؟؟,بنده
